id_venta,fecha,cliente,ciudad,vendedor,producto,categoria,cantidad,precio_unitario,descuento,total_venta
73,2026-04-11,Grupo Horizonte,Bogotá,Ana,Laptop Pro,Tecnología,3,3200000,10%,8640000.0
74,2026-02-13,Soluciones Delta,Bello,Valentina,Archivador,Oficina,10,320000,10%,2880000.0
75,2026-03-22,Consultores del Valle,Bello,Mateo,Mouse Inalámbrico,Tecnología,3,85000,10%,229500.0
76,2026-06-11,Grupo Horizonte,Bogotá,Fernanda,Kit de Oficina,Papelería,10,65000,5%,617500.0
77,2026-03-16,Constructora Central,Barranquilla,Ana,Kit de Oficina,Papelería,5,65000,5%,308750.0
78,2026-05-18,Servicios El Dorado,Bogotá,Valentina,Audífonos Bluetooth,Tecnología,9,210000,15%,1606500.0
79,2026-02-05,Soluciones Delta,Bogotá,Carlos,Laptop Pro,Tecnología,3,3200000,15%,8160000.0
80,2026-01-23,Logística Express,Cali,Ana,Laptop Pro,Tecnología,7,3200000,0%,22400000.0
81,2026-03-25,Logística Express,Cartagena,Carlos,Laptop Pro,Tecnología,1,3200000,5%,3040000.0
82,2026-05-20,Logística Express,Cali,Fernanda,Teclado Mecánico,Tecnología,1,280000,15%,238000.0
83,2026-07-25,Inversiones Nova,Cali,Mateo,Cuaderno Ejecutivo,Papelería,7,28000,15%,166600.0
84,2026-05-20,Logística Express,Barranquilla,Valentina,Audífonos Bluetooth,Tecnología,5,210000,10%,945000.0
85,2026-05-31,Logística Express,Bello,Carlos,Audífonos Bluetooth,Tecnología,4,210000,0%,840000.0
86,2026-05-22,Consultores del Valle,Bello,Valentina,Kit de Oficina,Papelería,10,65000,10%,585000.0
87,2026-03-17,Logística Express,Medellín,Mateo,Escritorio,Muebles,2,680000,10%,1224000.0
88,2026-06-23,Constructora Central,Medellín,Ana,Laptop Pro,Tecnología,6,3200000,10%,17280000.0
89,2026-01-05,Servicios El Dorado,Cartagena,Valentina,Mouse Inalámbrico,Tecnología,10,85000,5%,807500.0
90,2026-05-25,Tecnologías Alfa,Bogotá,Carlos,Archivador,Oficina,1,320000,5%,304000.0
91,2026-06-08,Grupo Horizonte,Bello,Fernanda,"Monitor 24""",Tecnología,4,780000,5%,2964000.0
92,2026-07-21,Consultores del Valle,Cali,Valentina,Silla Ergonómica,Muebles,7,950000,10%,5985000.0
93,2026-08-08,Constructora Central,Bello,Ana,Mouse Inalámbrico,Tecnología,10,85000,15%,722500.0
94,2026-07-24,Logística Express,Barranquilla,Ana,Escritorio,Muebles,1,680000,10%,612000.0
95,2026-06-15,Servicios El Dorado,Cartagena,Mateo,Cuaderno Ejecutivo,Papelería,8,28000,0%,224000.0
96,2026-07-22,Servicios El Dorado,Barranquilla,Valentina,Audífonos Bluetooth,Tecnología,6,210000,0%,1260000.0
97,2026-05-26,Logística Express,Bogotá,Ana,Teclado Mecánico,Tecnología,4,280000,0%,1120000.0
98,2026-01-03,Tecnologías Alfa,Bogotá,Valentina,Audífonos Bluetooth,Tecnología,6,210000,5%,1197000.0
99,2026-07-23,Constructora Central,Barranquilla,Carlos,Kit de Oficina,Papelería,8,65000,5%,494000.0
100,2026-06-13,Consultores del Valle,Medellín,Fernanda,Archivador,Oficina,10,320000,15%,2720000.0
